664e9d24 17c 90 38   Note On Ab2 43
38d63bc2 90 28 00   Note On(0-Off) E1

38d63c15 90 38 00   Note On(0-Off) Ab2
38d63ca3 90 3d 00   Note On(0-Off) C#3
38d63cc7 90 3f 49   Note On Eb3 73

38d63ced 90 38 23   Note On Ab2 35
38d63d68 90 38 00   Note On(0-Off) Ab2
38d63dac 90 3f 00   Note On(0-Off) Eb3
38d63e6c 90 2a 3c   Note On F#1 60

38d63e72 90 3d 6e   Note On C#3 110

38d63e76 90 38 3a   Note On Ab2 58
38d64033 90 38 00   Note On(0-Off) Ab2

38d64041 90 3d 00   Note On(0-Off) C#3
38d6410c 90 2a 00   Note On(0-Off) F#1
38d64306 90 44 5f   Note On Ab3 95
38d644ad 90 3f 38   Note On Eb3 56
38d6451b 90 44 00   Note On(0-Off) Ab3
38d645a0 90 3f 00   Note On(0-Off) Eb3
38d64651 90 42 3a   Note On F#3 58

38d64659 90 3b 40   Note On B2 64

38d64662 90 3f 3a   Note On Eb3 58

38d64670 90 2f 60   Note On B1 96
38d64764 90 3f 00   Note On(0-Off) Eb3

38d6476e 90 42 00   Note On(0-Off) F#3
38d64783 90 3b 00   Note On(0-Off) B2
38d647f8 90 3f 15   Note On Eb3 21

38d647ff 90 3b 34   Note On B2 52

38d6480d 90 42 38   Note On F#3 56
38d6489e 90 2f 00   Note On(0-Off) B1
38d648b4 90 3b 00   Note On(0-Off) B2

38d648d8 90 3f 00   Note On(0-Off) Eb3

38d648f2 90 42 00   Note On(0-Off) F#3
38d6499d 90 3f 33   Note On Eb3 51

38d6499f 90 42 3a   Note On F#3 58

38d649a4 90 3b 56   Note On B2 86
38d64a04 90 3b 00   Note On(0-Off) B2

38d64a0c 90 3f 00   Note On(0-Off) Eb3

38d64a11 90 42 00   Note On(0-Off) F#3
38d64b3b 90 38 22   Note On Ab2 34

38d64b54 90 3f 3c   Note On Eb3 60

38d64b5a 90 2c 1d   Note On Ab1 29
38d64b67 90 3b 6b   Note On B2 107
38d64e78 90 3f 00   Note On(0-Off) Eb3
38d64eb0 90 38 00   Note On(0-Off) Ab2
38d64f15 90 2c 00   Note On(0-Off) Ab1
38d6503f 90 3b 00   Note On(0-Off) B2
38d650c7 90 3b 79   Note On B2 121
38d65280 90 3b 00   Note On(0-Off) B2
38d653b4 90 28 56   Note On E1 86

38d653bf 90 38 56   Note On Ab2 86

38d653c0 90 3b 74   Note On B2 116
38d654c0 90 3b 00   Note On(0-Off) B2

38d654c5 90 38 00   Note On(0-Off) Ab2

38d6551d 90 28 00   Note On(0-Off) E1
38d65537 90 3b 69   Note On B2 105

38d65545 90 38 21   Note On Ab2 33

38d65579 90 38 00   Note On(0-Off) Ab2

38d6557b 90 3b 00   Note On(0-Off) B2
38d65591 90 3d 13   Note On C#3 19
38d65627 90 3d 00   Note On(0-Off) C#3

38d65653 90 3d 45   Note On C#3 69
38d656b3 90 3d 00   Note On(0-Off) C#3
38d656d9 90 3f 72   Note On Eb3 114
38d657c9 90 3f 00   Note On(0-Off) Eb3
38d65865 90 38 33   Note On Ab2 51

38d65866 90 2a 64   Note On F#1 100

38d6586b 90 3d 6e   Note On C#3 110
38d659ce 90 38 00   Note On(0-Off) Ab2

38d659e7 90 3d 00   Note On(0-Off) C#3
38d65d27 90 44 72   Note On Ab3 114
38d65d84 90 44 00   Note On(0-Off) Ab3

38d65dbb 90 44 6b   Note On Ab3 107
38d65e07 90 44 00   Note On(0-Off) Ab3

38d65e3c 90 44 4d   Note On Ab3 77
38d65e71 90 44 00   Note On(0-Off) Ab3

38d65e95 90 3f 70   Note On Eb3 112
38d65f32 90 44 6b   Note On Ab3 107

38d65f3c 90 3f 00   Note On(0-Off) Eb3

38d65f5f 90 2a 00   Note On(0-Off) F#1

38d65f61 90 44 00   Note On(0-Off) Ab3

38d65f72 90 44 56   Note On Ab3 86
38d65fb2 90 44 00   Note On(0-Off) Ab3

38d65fe9 90 3f 6e   Note On Eb3 110
38d6606e 90 2c 56   Note On Ab1 86

38d660b1 90 44 79   Note On Ab3 121
38d660c9 90 3f 00   Note On(0-Off) Eb3

38d66113 90 46 6b   Note On Bb3 107

38d6611f 90 44 00   Note On(0-Off) Ab3
38d6613a 90 46 00   Note On(0-Off) Bb3

38d66160 90 3f 66   Note On Eb3 102

38d66164 90 46 70   Note On Bb3 112
38d661ab 90 44 76   Note On Ab3 118

38d661cc 90 46 00   Note On(0-Off) Bb3

38d661de 90 3f 00   Note On(0-Off) Eb3
38d6623d 90 44 00   Note On(0-Off) Ab3
38d662a4 90 46 3d   Note On Bb3 61
38d662d7 90 3f 3d   Note On Eb3 61

38d66303 90 3f 00   Note On(0-Off) Eb3
38d66343 90 46 00   Note On(0-Off) Bb3
38d66462 90 47 6b   Note On B3 107
38d664bc 90 2c 00   Note On(0-Off) Ab1
38d6654b 90 47 00   Note On(0-Off) B3
38d665cd 90 47 4f   Note On B3 79

38d665d8 90 2a 64   Note On F#1 100
38d6676f 90 47 00   Note On(0-Off) B3

38d66784 90 44 3f   Note On Ab3 63

38d6678a 90 42 45   Note On F#3 69
38d667be 90 42 00   Note On(0-Off) F#3

38d667cf 90 44 00   Note On(0-Off) Ab3
38d6694d 90 3f 42   Note On Eb3 66
38d66a0a 90 3f 00   Note On(0-Off) Eb3
38d66b13 90 2a 00   Note On(0-Off) F#1
38d66b61 90 3d 59   Note On C#3 89
38d66b87 90 3b 74   Note On B2 116

38d66b87 90 3d 00   Note On(0-Off) C#3

38d66bc1 90 3b 00   Note On(0-Off) B2
38d66cfd 90 28 60   Note On E1 96
38d66e18 90 28 00   Note On(0-Off) E1
38d66ea3 90 44 76   Note On Ab3 118
38d66ef6 90 44 00   Note On(0-Off) Ab3
38d6705c 90 42 40   Note On F#3 64
38d670b2 90 43 12   Note On G3 18

38d670cf 90 42 00   Note On(0-Off) F#3

38d67100 90 42 7d   Note On F#3 125
38d67121 90 43 00   Note On(0-Off) G3

38d67123 90 41 7d   Note On F3 125

38d67125 90 42 00   Note On(0-Off) F#3

38d6712b 90 43 76   Note On G3 118

38d6713e 90 41 00   Note On(0-Off) F3
38d67181 90 45 36   Note On A3 54

38d671a1 90 45 00   Note On(0-Off) A3
38d67239 90 43 00   Note On(0-Off) G3
38d67448 90 44 70   Note On Ab3 112

38d67485 90 44 00   Note On(0-Off) Ab3
38d6755f 90 42 67   Note On F#3 103

38d675ac 90 43 5e   Note On G3 94
38d675e8 90 42 00   Note On(0-Off) F#3
38d67748 90 43 00   Note On(0-Off) G3

38d6774f 90 3e 67   Note On D3 103

38d67750 90 40 64   Note On E3 100
38d6776d 90 3e 00   Note On(0-Off) D3
38d677d8 90 40 00   Note On(0-Off) E3
38d67a1b 90 3d 66   Note On C#3 102
38d67a67 90 3e 3e   Note On D3 62

38d67a72 90 3d 00   Note On(0-Off) C#3
38d67adf 90 3e 00   Note On(0-Off) D3
38d67be3 90 3b 74   Note On B2 116
38d67cf5 90 3b 00   Note On(0-Off) B2
38d67d9a 90 37 76   Note On G2 118
38d67e2b 90 37 00   Note On(0-Off) G2
38d67f0d 90 2f 74   Note On B1 116
38d681e5 90 3b 5e   Note On B2 94

38d681e9 90 3f 5e   Note On Eb3 94

38d681ed 90 42 62   Note On F#3 98
38d682bf 90 3b 00   Note On(0-Off) B2
38d682cb 90 42 00   Note On(0-Off) F#3

38d682d9 90 3f 00   Note On(0-Off) Eb3
38d68357 90 2f 00   Note On(0-Off) B1
38d6847c 90 2f 25   Note On B1 37
38d684ff 90 2f 00   Note On(0-Off) B1

38d6851e 90 38 62   Note On Ab2 98

38d6852a 90 34 6b   Note On E2 107

38d6852b 90 3b 6d   Note On B2 109
38d68550 90 2a 59   Note On F#1 89

38d68568 90 2a 00   Note On(0-Off) F#1

38d6858c 90 29 5b   Note On F1 91

38d68591 90 28 62   Note On E1 98

38d6859a 90 2a 3d   Note On F#1 61
38d685e0 90 2a 00   Note On(0-Off) F#1

38d685f6 90 28 00   Note On(0-Off) E1

38d685fa 90 29 00   Note On(0-Off) F1

38d68604 90 3b 00   Note On(0-Off) B2

38d6860d 90 34 00   Note On(0-Off) E2

38d68616 90 38 00   Note On(0-Off) Ab2
38d686a1 90 2a 74   Note On F#1 116

38d686cd 90 38 74   Note On Ab2 116

38d686d1 90 34 72   Note On E2 114

38d686d3 90 3b 72   Note On B2 114
38d68920 90 34 00   Note On(0-Off) E2

38d68944 90 3b 00   Note On(0-Off) B2
38d6895d 90 38 00   Note On(0-Off) Ab2
38d689e2 90 2f 47   Note On B1 71

38d689e3 90 36 62   Note On F#2 98

38d689e7 90 33 60   Note On Eb2 96

38d689e9 90 3b 60   Note On B2 96

38d689ef 90 2a 00   Note On(0-Off) F#1
38d68c05 90 36 00   Note On(0-Off) F#2
38d68cfb 90 36 59   Note On F#2 89
38d68d12 90 33 00   Note On(0-Off) Eb2

38d68d22 90 3b 00   Note On(0-Off) B2

38d68d5f 90 2f 00   Note On(0-Off) B1
38d68e86 90 36 00   Note On(0-Off) F#2

38d68ea0 90 33 70   Note On Eb2 112
38d68f2f 90 33 00   Note On(0-Off) Eb2
38d6901a 90 2a 74   Note On F#1 116

38d6902a 90 34 76   Note On E2 118
38d69327 90 38 6d   Note On Ab2 109
38d694ce 90 3b 70   Note On B2 112
38d69551 90 38 00   Note On(0-Off) Ab2

38d6955f 90 34 00   Note On(0-Off) E2
38d6958f 90 3b 00   Note On(0-Off) B2
38d69620 90 2a 00   Note On(0-Off) F#1
38d697eb 90 2f 6b   Note On B1 107

38d697ef 90 44 70   Note On Ab3 112
38d69bed 90 44 00   Note On(0-Off) Ab3
38d69c67 90 3b 45   Note On B2 69

38d69c6d 90 2c 64   Note On Ab1 100
38d69c73 90 3f 5f   Note On Eb3 95

38d69c76 90 42 69   Note On F#3 105

38d69c96 90 2f 00   Note On(0-Off) B1
38d6a092 90 42 00   Note On(0-Off) F#3

38d6a0a0 90 3f 00   Note On(0-Off) Eb3

38d6a0b0 90 3b 00   Note On(0-Off) B2
38d6a0d3 90 2c 00   Note On(0-Off) Ab1
38d6a39d 90 3f 67   Note On Eb3 103

38d6a3a0 90 38 56   Note On Ab2 86

38d6a3a1 90 3b 72   Note On B2 114

38d6a3a5 90 28 3e   Note On E1 62

38d6a3ab 90 26 3e   Note On D1 62

38d6a3e1 90 26 00   Note On(0-Off) D1
38d6a47f 90 38 00   Note On(0-Off) Ab2
38d6a4d4 90 3f 00   Note On(0-Off) Eb3

38d6a506 90 38 36   Note On Ab2 54

38d6a50f 90 3b 00   Note On(0-Off) B2
38d6a5df 90 28 00   Note On(0-Off) E1
38d6a6e0 90 3b 72   Note On B2 114
38d6a7eb 90 38 00   Note On(0-Off) Ab2
38d6a81b 90 3b 00   Note On(0-Off) B2
38d6a884 90 2a 66   Note On F#1 102

38d6a88a 90 3d 72   Note On C#3 114

38d6a890 90 38 66   Note On Ab2 102
38d6aadf 90 3d 00   Note On(0-Off) C#3
38d6aafe 90 38 00   Note On(0-Off) Ab2
38d6abe8 90 38 47   Note On Ab2 71

38d6abe8 90 3f 66   Note On Eb3 102
38d6ac9b 90 2a 00   Note On(0-Off) F#1
38d6ad65 90 3f 00   Note On(0-Off) Eb3
38d6add2 90 38 00   Note On(0-Off) Ab2

38d6adff 90 2c 67   Note On Ab1 103

38d6ae02 90 40 69   Note On E3 105

38d6ae0c 90 38 62   Note On Ab2 98
38d6ae7a 90 38 00   Note On(0-Off) Ab2

38d6ae83 90 40 00   Note On(0-Off) E3
38d6af21 90 2c 00   Note On(0-Off) Ab1
38d6b06a 90 46 67   Note On Bb3 103

38d6b06c 90 2f 6b   Note On B1 107
38d6b1e7 90 42 3d   Note On F#3 61
38d6b258 90 46 00   Note On(0-Off) Bb3
38d6b357 90 42 00   Note On(0-Off) F#3
38d6b3b3 90 44 56   Note On Ab3 86
38d6b44e 90 44 00   Note On(0-Off) Ab3
38d6b4cb 90 2f 00   Note On(0-Off) B1
38d6b586 90 2c 69   Note On Ab1 105
38d6b5c9 90 3b 3f   Note On B2 63

38d6b5d6 90 41 76   Note On F3 118

38d6b5df 90 40 69   Note On E3 105

38d6b604 90 40 00   Note On(0-Off) E3

38d6b61e 90 41 00   Note On(0-Off) F3
38d6b63d 90 3e 66   Note On D3 102

38d6b679 90 3e 00   Note On(0-Off) D3
38d6b6a7 90 3b 00   Note On(0-Off) B2

38d6b6d3 90 42 4b   Note On F#3 75

38d6b6e4 90 3b 56   Note On B2 86

38d6b6ed 90 3f 6b   Note On Eb3 107
38d6b9d4 90 3f 00   Note On(0-Off) Eb3

38d6b9ed 90 2c 00   Note On(0-Off) Ab1

38d6b9ef 90 3b 00   Note On(0-Off) B2

38d6b9fa 90 42 00   Note On(0-Off) F#3
38d6bc3a 90 28 67   Note On E1 103

38d6bc44 90 38 44   Note On Ab2 68

38d6bc48 90 3b 74   Note On B2 116
38d6bd7e 90 3b 00   Note On(0-Off) B2

38d6bd98 90 38 00   Note On(0-Off) Ab2
38d6bdcf 90 3d 6b   Note On C#3 107

38d6bdd8 90 38 13   Note On Ab2 19
38d6be85 90 38 00   Note On(0-Off) Ab2

38d6bedf 90 28 00   Note On(0-Off) E1
38d6bf00 90 3d 00   Note On(0-Off) C#3
38d6bf75 90 38 5f   Note On Ab2 95

38d6bf78 90 3f 6b   Note On Eb3 107
38d6c074 90 3f 00   Note On(0-Off) Eb3

38d6c074 90 38 00   Note On(0-Off) Ab2
38d6c126 90 38 49   Note On Ab2 73

38d6c126 90 2a 6b   Note On F#1 107

38d6c12a 90 3d 76   Note On C#3 118
38d6c20d 90 38 00   Note On(0-Off) Ab2
38d6c294 90 3d 00   Note On(0-Off) C#3
38d6c2d1 90 38 5f   Note On Ab2 95
38d6c39c 90 2a 00   Note On(0-Off) F#1

38d6c3b1 90 3d 72   Note On C#3 114

38d6c3c4 90 38 00   Note On(0-Off) Ab2
38d6c421 90 3d 00   Note On(0-Off) C#3
38d6c464 90 38 67   Note On Ab2 103
38d6c4e6 90 38 00   Note On(0-Off) Ab2
38d6c548 90 2b 72   Note On G1 114

38d6c557 90 3d 7d   Note On C#3 125
38d6c60a 90 3d 00   Note On(0-Off) C#3

38d6c621 90 38 6b   Note On Ab2 107

38d6c63b 90 2b 00   Note On(0-Off) G1
38d6c6f1 90 3d 4d   Note On C#3 77

38d6c70e 90 38 00   Note On(0-Off) Ab2
38d6c79d 90 3d 00   Note On(0-Off) C#3

38d6c7af 90 3f 72   Note On Eb3 114
38d6c806 90 3f 00   Note On(0-Off) Eb3
38d6c882 90 2c 60   Note On Ab1 96
38d6c8c6 90 48 67   Note On C4 103

38d6c8c8 90 3f 67   Note On Eb3 103
38d6c927 90 48 00   Note On(0-Off) C4

38d6c948 90 3f 00   Note On(0-Off) Eb3
38d6ca2b 90 47 69   Note On B3 105

38d6ca31 90 3f 5e   Note On Eb3 94
38d6cacf 90 47 00   Note On(0-Off) B3

38d6cad1 90 3f 00   Note On(0-Off) Eb3
38d6cb9e 90 47 49   Note On B3 73

38d6cba0 90 3f 3d   Note On Eb3 61

38d6cbc0 90 2c 00   Note On(0-Off) Ab1
38d6cc16 90 47 00   Note On(0-Off) B3

38d6cc1c 90 3f 00   Note On(0-Off) Eb3
38d6cc62 90 3f 45   Note On Eb3 69

38d6cc65 90 47 66   Note On B3 102
38d6cce5 90 3f 00   Note On(0-Off) Eb3

38d6cce6 90 47 00   Note On(0-Off) B3
38d6cd73 90 47 67   Note On B3 103

38d6cd73 90 3f 67   Note On Eb3 103
38d6cded 90 3f 00   Note On(0-Off) Eb3

38d6cdf1 90 47 00   Note On(0-Off) B3
38d6cee4 90 47 66   Note On B3 102

38d6cef1 90 3f 70   Note On Eb3 112

38d6cef2 90 2a 76   Note On F#1 118
38d6cfe4 90 47 00   Note On(0-Off) B3
38d6d077 90 42 5f   Note On F#3 95
38d6d0ca 90 3f 00   Note On(0-Off) Eb3
38d6d139 90 42 00   Note On(0-Off) F#3
38d6d23f 90 3f 72   Note On Eb3 114

38d6d28a 90 3f 00   Note On(0-Off) Eb3
38d6d3cd 90 2a 00   Note On(0-Off) F#1

38d6d3d7 90 3b 7d   Note On B2 125
38d6d445 90 3b 00   Note On(0-Off) B2
38d6d589 90 28 56   Note On E1 86
38d6d621 90 28 00   Note On(0-Off) E1
38d6d700 90 42 5f   Note On F#3 95

38d6d73c 90 43 70   Note On G3 112
38d6d760 90 42 00   Note On(0-Off) F#3
38d6d893 90 43 00   Note On(0-Off) G3

38d6d89b 90 42 76   Note On F#3 118
38d6d8fa 90 42 00   Note On(0-Off) F#3
38d6da4a 90 40 70   Note On E3 112
38d6dc69 90 40 00   Note On(0-Off) E3
38d6dd9a 90 3d 6b   Note On C#3 107
38d6e03a 90 3d 00   Note On(0-Off) C#3

38d6e03a 90 3b 70   Note On B2 112
38d6e10b 90 3d 70   Note On C#3 112

38d6e147 90 3b 00   Note On(0-Off) B2
38d6e262 90 3d 00   Note On(0-Off) C#3

38d6e29c 90 2f 6d   Note On B1 109

38d6e2a0 90 3b 79   Note On B2 121
38d6e5d8 90 3d 70   Note On C#3 112

38d6e5f2 90 2f 00   Note On(0-Off) B1

38d6e611 90 3b 00   Note On(0-Off) B2
38d6e91f 90 3d 00   Note On(0-Off) C#3

38d6e920 90 2a 60   Note On F#1 96

38d6e92a 90 3f 74   Note On Eb3 116
38d6eab6 90 3d 64   Note On C#3 100

38d6eabf 90 3f 00   Note On(0-Off) Eb3
38d6ee14 90 3d 00   Note On(0-Off) C#3

38d6ee15 90 3b 74   Note On B2 116
38d6efce 90 2a 00   Note On(0-Off) F#1

38d6efd8 90 2f 72   Note On B1 114
38d6f074 90 3b 00   Note On(0-Off) B2
38d6f28f 90 2f 00   Note On(0-Off) B1
38d6f4b3 90 2a 67   Note On F#1 103

38d6f4bf 90 34 6b   Note On E2 107

38d6f4c3 90 38 67   Note On Ab2 103

38d6f4c6 90 36 6b   Note On F#2 107

38d6f4c7 90 3b 72   Note On B2 114
38d6f5fe 90 36 00   Note On(0-Off) F#2
38d6f606 90 34 00   Note On(0-Off) E2

38d6f611 90 38 00   Note On(0-Off) Ab2

38d6f626 90 3b 00   Note On(0-Off) B2
38d6f6da 90 2a 00   Note On(0-Off) F#1
38d6f9c8 90 44 60   Note On Ab3 96
38d6fb98 90 3f 40   Note On Eb3 64
38d6fbbd 90 44 00   Note On(0-Off) Ab3
38d6fc9d 90 3f 00   Note On(0-Off) Eb3
38d6fd1e 90 3b 60   Note On B2 96

38d6fd22 90 3f 5e   Note On Eb3 94

38d6fd23 90 42 6b   Note On F#3 107

38d6fd29 90 2f 64   Note On B1 100
38d6ff4b 90 3f 00   Note On(0-Off) Eb3

38d6ff69 90 3b 00   Note On(0-Off) B2

38d6ff6b 90 42 00   Note On(0-Off) F#3
38d70009 90 2f 00   Note On(0-Off) B1
38d701fd 90 2c 5e   Note On Ab1 94
38d7020c 90 3f 5e   Note On Eb3 94

38d7020f 90 38 49   Note On Ab2 73

38d70214 90 3b 76   Note On B2 118
38d7042b 90 38 00   Note On(0-Off) Ab2
38d7048e 90 3f 00   Note On(0-Off) Eb3
38d70577 90 38 4f   Note On Ab2 79
38d70592 90 3b 00   Note On(0-Off) B2
38d706d5 90 2c 00   Note On(0-Off) Ab1
38d7073f 90 38 00   Note On(0-Off) Ab2
38d707bb 90 38 72   Note On Ab2 114
38d709de 90 38 00   Note On(0-Off) Ab2
38d70a97 90 28 62   Note On E1 98

38d70a9f 90 38 4d   Note On Ab2 77

38d70aa1 90 3d 72   Note On C#3 114
38d70c30 90 3d 00   Note On(0-Off) C#3

38d70c37 90 3f 60   Note On Eb3 96
38d70cf4 90 3f 00   Note On(0-Off) Eb3
38d70d2f 90 28 00   Note On(0-Off) E1

38d70d49 90 38 00   Note On(0-Off) Ab2
38d70db1 90 3d 5b   Note On C#3 91

38d70dcd 90 38 36   Note On Ab2 54
38d70e2f 90 38 00   Note On(0-Off) Ab2
38d70e81 90 3d 00   Note On(0-Off) C#3
38d70f47 90 3d 72   Note On C#3 114

38d70f49 90 38 67   Note On Ab2 103

38d70f53 90 2a 6e   Note On F#1 110
38d711a1 90 38 00   Note On(0-Off) Ab2
38d71237 90 3d 00   Note On(0-Off) C#3
38d7142c 90 44 3e   Note On Ab3 62
38d7160c 90 2a 00   Note On(0-Off) F#1

38d7164b 90 44 00   Note On(0-Off) Ab3
38d71780 90 44 69   Note On Ab3 105

38d7178c 90 2f 66   Note On B1 102
38d71857 90 44 00   Note On(0-Off) Ab3
38d71919 90 44 3c   Note On Ab3 60
38d719cc 90 44 00   Note On(0-Off) Ab3
38d71a8d 90 44 67   Note On Ab3 103
38d71c88 90 42 74   Note On F#3 116

38d71cad 90 44 00   Note On(0-Off) Ab3
38d7225a 90 42 00   Note On(0-Off) F#3
38d72359 90 2f 00   Note On(0-Off) B1
38d72404 90 28 45   Note On E1 69

38d7240b 90 38 5b   Note On Ab2 91
38d725a2 90 3b 6e   Note On B2 110
38d725e9 90 38 00   Note On(0-Off) Ab2
38d7273b 90 3b 00   Note On(0-Off) B2

38d72749 90 3f 62   Note On Eb3 98

38d72764 90 28 00   Note On(0-Off) E1
38d72812 90 3f 00   Note On(0-Off) Eb3
38d728f5 90 2a 60   Note On F#1 96

38d728fc 90 38 40   Note On Ab2 64

38d72902 90 3d 76   Note On C#3 118
38d72d1c 90 38 00   Note On(0-Off) Ab2
38d72d2f 90 3d 00   Note On(0-Off) C#3
38d72f0e 90 44 14   Note On Ab3 20
38d72ff9 90 2a 00   Note On(0-Off) F#1

38d7302b 90 46 5b   Note On Bb3 91

38d7302f 90 44 00   Note On(0-Off) Ab3
38d730d1 90 46 00   Note On(0-Off) Bb3
38d73124 90 2c 67   Note On Ab1 103

38d73129 90 3f 67   Note On Eb3 103

38d73132 90 47 6b   Note On B3 107
38d73200 90 47 00   Note On(0-Off) B3

38d73206 90 3f 00   Note On(0-Off) Eb3
38d732b4 90 3f 42   Note On Eb3 66
38d732b5 90 47 67   Note On B3 103
38d73348 90 47 00   Note On(0-Off) B3

38d7334d 90 3f 00   Note On(0-Off) Eb3
38d7344c 90 3f 60   Note On Eb3 96

38d7344c 90 47 60   Note On B3 96

38d7349a 90 47 00   Note On(0-Off) B3

38d734a2 90 3f 00   Note On(0-Off) Eb3
38d734f8 90 47 64   Note On B3 100

38d734fb 90 3f 62   Note On Eb3 98
38d7354d 90 2c 00   Note On(0-Off) Ab1

38d73568 90 47 00   Note On(0-Off) B3

38d73573 90 3f 00   Note On(0-Off) Eb3
38d735e1 90 47 67   Note On B3 103

38d735e2 90 3f 62   Note On Eb3 98
38d7366e 90 47 00   Note On(0-Off) B3

38d7367c 90 3f 00   Note On(0-Off) Eb3
38d73760 90 47 69   Note On B3 105

38d73761 90 3f 6d   Note On Eb3 109

38d73762 90 2a 76   Note On F#1 118
38d738ca 90 47 00   Note On(0-Off) B3

38d738f3 90 42 62   Note On F#3 98
38d73928 90 3f 00   Note On(0-Off) Eb3
38d7397e 90 42 00   Note On(0-Off) F#3
38d73aac 90 3f 76   Note On Eb3 118
38d73b00 90 3f 00   Note On(0-Off) Eb3

38d73b56 90 2a 00   Note On(0-Off) F#1
38d73c78 90 3b 79   Note On B2 121
38d73cd9 90 3b 00   Note On(0-Off) B2
38d73dff 90 28 52   Note On E1 82
38d73ea6 90 28 00   Note On(0-Off) E1
38d73f6f 90 42 52   Note On F#3 82
38d73fc0 90 43 67   Note On G3 103

38d73fd8 90 42 00   Note On(0-Off) F#3

38d73ff1 90 43 00   Note On(0-Off) G3
38d74024 90 41 45   Note On F3 69

38d74029 90 43 66   Note On G3 102
38d7408d 90 41 00   Note On(0-Off) F3

38d74094 90 43 00   Note On(0-Off) G3
38d7415b 90 42 74   Note On F#3 116

38d741a9 90 42 00   Note On(0-Off) F#3
38d74305 90 40 70   Note On E3 112
38d7434f 90 40 00   Note On(0-Off) E3
38d74638 90 3b 7b   Note On B2 123
38d747dc 90 3b 00   Note On(0-Off) B2

38d747dd 90 37 72   Note On G2 114
38d7489c 90 3b 6b   Note On B2 107
38d748e3 90 37 00   Note On(0-Off) G2
38d74953 90 37 64   Note On G2 100

38d7495e 90 3b 00   Note On(0-Off) B2
38d74a02 90 3b 6d   Note On B2 109

38d74a16 90 37 00   Note On(0-Off) G2
38d74ac4 90 2f 69   Note On B1 105

38d74af2 90 39 64   Note On A2 100
38d74b71 90 39 00   Note On(0-Off) A2
38d74d67 90 3b 00   Note On(0-Off) B2
38d74df9 90 3a 72   Note On Bb2 114
38d74e37 90 3a 00   Note On(0-Off) Bb2

38d74e42 90 3b 62   Note On B2 98

38d74e52 90 3b 00   Note On(0-Off) B2
38d74f03 90 2f 00   Note On(0-Off) B1
38d75160 90 34 5f   Note On E2 95

38d75161 90 2a 64   Note On F#1 100

38d75162 90 38 6b   Note On Ab2 107

38d75164 90 3b 6e   Note On B2 110
38d751bf 90 34 00   Note On(0-Off) E2

38d751c9 90 38 00   Note On(0-Off) Ab2

38d751ca 90 2a 00   Note On(0-Off) F#1

38d751cd 90 3b 00   Note On(0-Off) B2
38d7532a 90 2a 7d   Note On F#1 125

38d7532c 90 34 72   Note On E2 114

38d7532d 90 38 76   Note On Ab2 118

38d7532e 90 3b 7b   Note On B2 123
38d75379 90 2b 6e   Note On G1 110
38d753d0 90 2b 00   Note On(0-Off) G1

38d753d8 90 2a 00   Note On(0-Off) F#1
38d7551a 90 34 00   Note On(0-Off) E2

38d7551f 90 3b 00   Note On(0-Off) B2

38d75526 90 38 00   Note On(0-Off) Ab2
38d75667 90 33 3d   Note On Eb2 61

38d75670 90 3b 60   Note On B2 96

38d75672 90 36 64   Note On F#2 100

38d75677 90 2f 6b   Note On B1 107
38d75c17 90 36 00   Note On(0-Off) F#2
38d75c23 90 33 00   Note On(0-Off) Eb2

38d75c24 90 3b 00   Note On(0-Off) B2
38d75dd0 90 2f 00   Note On(0-Off) B1
38d75edd 90 44 72   Note On Ab3 114
38d76054 90 44 00   Note On(0-Off) Ab3

38d7606a 90 46 69   Note On Bb3 105
38d76155 90 46 00   Note On(0-Off) Bb3
38d76215 90 47 69   Note On B3 105

38d76217 90 3f 5e   Note On Eb3 94
38d763b5 90 2c 67   Note On Ab1 103
38d76683 90 3f 00   Note On(0-Off) Eb3
38d7673e 90 47 00   Note On(0-Off) B3
38d76794 90 2c 00   Note On(0-Off) Ab1
38d76853 90 3f 66   Note On Eb3 102
38d768fe 90 3f 00   Note On(0-Off) Eb3
38d76c6b 90 44 3d   Note On Ab3 61
38d76d6a 90 44 00   Note On(0-Off) Ab3
38d76deb 90 46 6b   Note On Bb3 107
38d76ef2 90 46 00   Note On(0-Off) Bb3
38d76fa7 90 2c 72   Note On Ab1 114

38d76faf 90 47 67   Note On B3 103
38d76fc4 90 3f 6d   Note On Eb3 109
38d771d1 90 3f 00   Note On(0-Off) Eb3
38d77271 90 47 00   Note On(0-Off) B3
38d772a9 90 2c 00   Note On(0-Off) Ab1
38d774d6 90 40 6d   Note On E3 109
38d77562 90 40 00   Note On(0-Off) E3
38d77666 90 28 69   Note On E1 105

38d77672 90 40 74   Note On E3 116
38d777e4 90 42 4f   Note On F#3 79

38d777e6 90 40 00   Note On(0-Off) E3
38d77929 90 28 00   Note On(0-Off) E1
38d77989 90 42 00   Note On(0-Off) F#3

